claim_id,short_name,attempted_headline,base_verdict,audit_verdict,allowed_headline,forbidden_headline,artifact_count,token_hits,artifacts
BH-C01,reduced_state_space_operational,A reduced black-hole state space is operational.,allowed_bounded,allowed_bounded,A reduced black-hole projection is operational in the tested simulation and survey branches.,A full four-coordinate black-hole HRSM space has been established.,16,ripeness|tier1,configs/bh_time_diagnostics_tier1_hrsm.yaml|configs/bh_time_from_csv_tier1_hrsm.yaml|configs/bh_time_robust_dispersion_tier1_hrsm.yaml|configs/bh_time_variance_scaling_tier1_hrsm.yaml|configs/bh_time_variance_scaling_tier1_hrsm_v2.yaml|outputs/tables/bh_time_bin_summary_tier1_hrsm.csv|outputs/tables/bh_time_extreme_phi_tier1_hrsm.csv|outputs/tables/bh_time_extreme_ripeness_tier1_hrsm.csv|outputs/tables/bh_time_null_slopes_tier1_hrsm.csv|outputs/tables/bh_time_null_slopes_tier1_hrsm_v2.csv|outputs/tables/bh_time_ripeness_from_csv_tier1_hrsm.csv|outputs/tables/bh_time_summary_from_csv_tier1_hrsm.csv|outputs/tables/bh_time_variance_scaling_tier1_hrsm.csv|outputs/tables/bh_time_variance_scaling_tier1_hrsm_v2.csv|outputs/tables/bh_time_variance_summary_tier1_hrsm.csv|outputs/tables/bh_time_variance_summary_tier1_hrsm_v2.csv
BH-C02,h_axis_is_reserve,Specific black-hole accretion rate is an admitted H reserve coordinate.,unresolved_axis_identity,unresolved_axis_identity,Specific accretion rate is used provisionally as a forcing or throughput coordinate.,Specific accretion rate has been validated as adaptive reserve.,6,lambda,configs/bh_time_diagnostics_tier1_hrsm.yaml|configs/bh_time_from_csv_tier1_hrsm.yaml|configs/bh_time_robust_dispersion_tier1_hrsm.yaml|configs/bh_time_variance_scaling_tier1_hrsm.yaml|configs/bh_time_variance_scaling_tier1_hrsm_v2.yaml|src/core/state_vector.py
BH-C03,stability_is_equilibrium_distance,S measures distance from a class-conditioned equilibrium.,audit_required,audit_required,"S is an equilibrium-distance coordinate only where code, configuration, and equation use a concordant residual construction.",Every current S construction measures equilibrium distance.,73,offset|residual|stability,paper/manuscript_snapshot/main.tex|src/core/state_vector.py|src/obs/01_build_obs_static_from_csv.py|src/obs/02_obs_variance_scaling_from_csv.py|src/obs/10_build_manga_provenance_audit.py|src/obs/11_build_obs_static_with_sigma_S.py|src/obs/12_check_manga_downloads.py|src/obs/13_prepare_manga_runtime_products.py|src/obs/14_check_gama_downloads.py|src/obs/15_audit_gama_tables.py|src/obs/16_prepare_gama_runtime_products.py|src/obs/17_build_rebuilt_static_with_sigma_S.py|src/obs/18_compare_rebuilt_vs_prebuilt.py|src/obs/19_audit_rebuilt_rejections.py|src/obs/20_gama_lambda0_sensitivity.py|src/obs/21_build_rebuilt_static_with_altS.py|src/obs/22_build_rebuilt_static_with_custom_HS.py|src/obs/23_audit_class_normalization.py|src/obs/24_augment_manga_runtime_from_dap_channels.py|src/obs/24_extract_manga_dap_channels_full.py|src/obs/25_build_manga_full_download_runtime.py|src/obs/26_attach_manga_legacy_bh_overlay.py|src/obs/27_run_gama_baseline_stress_tests.py|src/obs/28_build_manga_ifu_pilot_manifest.py|src/obs/29_extract_manga_maps_features.py|src/obs/30_build_manga_ifu_state_vectors.py|src/obs/31_manga_ifu_variance_scaling.py|src/obs/32_manga_ifu_robust_dispersion_scaling.py|src/obs/33_manga_ifu_role_permutation_tests.py|src/obs/34_manga_ifu_bootstrap_summaries.py|src/obs/35_build_manga_ifu_expanded_manifest.py|src/obs/36_build_manga_ifu_role_views.py|src/obs/37_build_manga_full_parent_manifest.py|src/obs/38_prepare_manga_full_maps_batches.py|src/obs/40_merge_manga_full_maps_batches.py|src/obs/41_manga_full_ifu_variance_scaling.py|src/obs/42_manga_full_ifu_robust_dispersion_scaling.py|src/obs/43_manga_full_ifu_role_views.py|src/obs/44_manga_full_ifu_role_permutation_tests.py|src/obs/45_manga_full_ifu_bootstrap_summaries.py|src/obs/46_audit_manga_full_maps_failures.py|src/obs/47_manga_full_ifu_variance_scaling_clean.py|src/obs/48_attach_manga_full_clean_flags.py|src/obs/49_manga_full_ifu_sensitivity_cuts.py|src/obs/50_manga_full_summary_compare.py|src/obs/61_gama_leave_one_bin_out.py|src/obs/__init__.py|src/sim/01_build_tng_static_bh_catalog.py|src/sim/02_compute_tng_phi_bh.py|src/sim/03_define_tng_window.py|src/sim/04_tng_variance_scaling.py|src/sim/05_extract_bh_time_from_csv.py|src/sim/05_extract_bh_time_from_csv_tier1_hrsm.py|src/sim/05_extract_tng_time_tracks.py|src/sim/06_compute_bh_time_ripeness_from_csv.py|src/sim/06_compute_bh_time_ripeness_from_csv_tier1_hrsm.py|src/sim/06_compute_tng_ripeness.py|src/sim/07_bh_time_variance_scaling_tier1_hrsm.py|src/sim/07_tng_permutation_tests.py|src/sim/08_bh_time_diagnostics_tier1_hrsm.py|src/sim/08_tng_summary_tables.py|src/sim/09_bh_time_robust_dispersion_scaling.py|src/sim/51_build_bh_ripeness_rankings.py|src/sim/52_bh_ripeness_diagnostics.py|src/sim/53_bh_ripeness_sensitivity_suite.py|src/sim/54_bh_ripeness_component_audit.py|src/sim/55_bh_ripeness_leave_one_out_audit.py|src/sim/56_bh_ripeness_decoupling_audit.py|src/sim/57_bh_ripeness_stable_core_overlap.py|src/sim/58_bh_settlement_residual_audit.py|src/sim/59_bh_ripeness_regime_plots.py|src/sim/60_verify_intermediate_mass_class_gating.py|src/sim/__init__.py
BH-C04,hs_is_two_coordinate_geometry,The Tier 1 potential is a two-coordinate homeostatic geometry.,blocked_pending_dimensionality,blocked_pending_dimensionality,The Tier 1 composite is exploratory until redundancy and noise-matched effective dimensionality are audited.,H and S are independent homeostatic axes.,0,,
BH-C05,tng_ripeness_variance_declines,Ripeness dispersion declines robustly with final black-hole mass.,allowed_bounded,allowed_bounded,"In the frozen TNG Tier 1 branch, residence-based ripeness has a negative dispersion slope under the declared estimators, subject to provenance, effective-unit, and construction-null caps.",Black holes universally converge toward one homeostatic state as mass increases.,41,iqr|mad|ripeness|variance,configs/bh_time_robust_dispersion_tier1_hrsm.yaml|configs/bh_time_variance_scaling_tier1_hrsm.yaml|configs/bh_time_variance_scaling_tier1_hrsm_v2.yaml|outputs/tables/bh_ripeness_bottom_by_context.csv|outputs/tables/bh_ripeness_bottom_component_audit.csv|outputs/tables/bh_ripeness_bottom_global.csv|outputs/tables/bh_ripeness_class_summary.csv|outputs/tables/bh_ripeness_component_summary.csv|outputs/tables/bh_ripeness_correlations.csv|outputs/tables/bh_ripeness_decoupling_summary.csv|outputs/tables/bh_ripeness_focus_component_audit.csv|outputs/tables/bh_ripeness_leave_one_out_focus.csv|outputs/tables/bh_ripeness_leave_one_out_summary.csv|outputs/tables/bh_ripeness_rank_overlap.csv|outputs/tables/bh_ripeness_rankings.csv|outputs/tables/bh_ripeness_sensitivity_overlap.csv|outputs/tables/bh_ripeness_sensitivity_summary.csv|outputs/tables/bh_ripeness_stable_core_membership.csv|outputs/tables/bh_ripeness_stable_core_summary.csv|outputs/tables/bh_ripeness_stable_core_top25.csv|outputs/tables/bh_ripeness_summary_by_context.csv|outputs/tables/bh_ripeness_top_by_context.csv|outputs/tables/bh_ripeness_top_component_audit.csv|outputs/tables/bh_ripeness_top_global.csv|outputs/tables/bh_time_extreme_ripeness_tier1_hrsm.csv|outputs/tables/bh_time_ripeness_from_csv.csv|outputs/tables/bh_time_ripeness_from_csv_tier1_hrsm.csv|outputs/tables/bh_time_robust_dispersion_binned.csv|outputs/tables/bh_time_robust_dispersion_summary.csv|outputs/tables/manga_full_age_robust_dispersion_binned.csv|outputs/tables/manga_full_age_robust_dispersion_summary.csv|outputs/tables/manga_full_kin_robust_dispersion_binned.csv|outputs/tables/manga_full_kin_robust_dispersion_summary.csv|outputs/tables/manga_ifu_age_robust_dispersion_binned.csv|outputs/tables/manga_ifu_age_robust_dispersion_binned_expanded.csv|outputs/tables/manga_ifu_age_robust_dispersion_summary.csv|outputs/tables/manga_ifu_age_robust_dispersion_summary_expanded.csv|outputs/tables/manga_ifu_kin_robust_dispersion_binned.csv|outputs/tables/manga_ifu_kin_robust_dispersion_binned_expanded.csv|outputs/tables/manga_ifu_kin_robust_dispersion_summary.csv|outputs/tables/manga_ifu_kin_robust_dispersion_summary_expanded.csv
BH-C06,median_potential_compression,Median-potential dispersion declines robustly with mass.,rejected_negative_result,rejected_negative_result,The ordinary-variance median-potential trend is tail dominated and fails robust re-estimation.,Median potential provides a robust compression law.,33,iqr|mad|median,outputs/tables/bh_time_robust_dispersion_binned.csv|outputs/tables/bh_time_robust_dispersion_summary.csv|outputs/tables/bh_time_variance_scaling_tier1_hrsm.csv|outputs/tables/bh_time_variance_scaling_tier1_hrsm_v2.csv|outputs/tables/manga_full_age_robust_dispersion_binned.csv|outputs/tables/manga_full_age_robust_dispersion_summary.csv|outputs/tables/manga_full_age_variance_scaling.csv|outputs/tables/manga_full_age_variance_scaling_clean.csv|outputs/tables/manga_full_kin_robust_dispersion_binned.csv|outputs/tables/manga_full_kin_robust_dispersion_summary.csv|outputs/tables/manga_full_kin_variance_scaling.csv|outputs/tables/manga_full_kin_variance_scaling_clean.csv|outputs/tables/manga_ifu_age_robust_dispersion_binned.csv|outputs/tables/manga_ifu_age_robust_dispersion_binned_expanded.csv|outputs/tables/manga_ifu_age_robust_dispersion_summary.csv|outputs/tables/manga_ifu_age_robust_dispersion_summary_expanded.csv|outputs/tables/manga_ifu_age_variance_scaling.csv|outputs/tables/manga_ifu_age_variance_scaling_expanded.csv|outputs/tables/manga_ifu_kin_robust_dispersion_binned.csv|outputs/tables/manga_ifu_kin_robust_dispersion_binned_expanded.csv|outputs/tables/manga_ifu_kin_robust_dispersion_summary.csv|outputs/tables/manga_ifu_kin_robust_dispersion_summary_expanded.csv|outputs/tables/manga_ifu_kin_variance_scaling.csv|outputs/tables/manga_ifu_kin_variance_scaling_expanded.csv|outputs/tables/obs_gama_rebuilt_oiiibH_d4000S_variance_scaling.csv|outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_variance_scaling.csv|outputs/tables/obs_gama_rebuilt_sigmaS_variance_scaling.csv|outputs/tables/obs_gama_variance_scaling.csv|outputs/tables/obs_gama_variance_scaling_coarse.csv|outputs/tables/obs_manga_rebuilt_oiiiH_d4000S_variance_scaling.csv|outputs/tables/obs_manga_rebuilt_sigmaS_variance_scaling.csv|outputs/tables/obs_manga_variance_scaling.csv|outputs/tables/obs_sdss_variance_scaling.csv
BH-C07,gama_d4000_directional_support,The GAMA D4000-offset branch provides observational support.,allowed_bounded,allowed_bounded,"The GAMA D4000-offset branch is a directional, three-bin, resolution-limited observational analogue.",GAMA establishes a universal observational black-hole compression law.,5,d4000|oiiib,configs/obs_gama_rebuilt_oiiibH_d4000S.yaml|outputs/tables/obs_gama_rebuilt_oiiibH_d4000S_null_slopes.csv|outputs/tables/obs_gama_rebuilt_oiiibH_d4000S_qc.csv|outputs/tables/obs_gama_rebuilt_oiiibH_d4000S_variance_scaling.csv|outputs/tables/obs_gama_rebuilt_oiiibH_d4000S_variance_summary.csv
BH-C08,gama_sigma_strongest_observational,The GAMA sigma-star branch is the strongest observational black-hole result.,numeric_quarantine,numeric_quarantine,The GAMA sigma-star construction is numerically quarantined pending clean reconstruction and target-side independence checks.,The quarantined sigma-star slope is confirmatory evidence.,23,audit|normalization|sigma,configs/audit_gama_oiiib_sigmaS_normalization.yaml|configs/audit_gama_rebuilt_sigmaS.yaml|configs/obs_gama_rebuilt_oiiibH_sigmaS.yaml|configs/obs_gama_rebuilt_sigmaS.yaml|outputs/tables/audit_gama_oiiib_sigmaS_normalization_extreme.csv|outputs/tables/audit_gama_oiiib_sigmaS_normalization_summary.csv|outputs/tables/audit_gama_rebuilt_sigmaS_rejection_marginal.csv|outputs/tables/audit_gama_rebuilt_sigmaS_rejection_steps.csv|outputs/tables/gama_lambda0_sensitivity_sigmaS_binned.csv|outputs/tables/gama_lambda0_sensitivity_sigmaS_summary.csv|outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_binned.csv|outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_nulls.csv|outputs/tables/gama_leave_one_bin_out_sigmaoffsetS_summary.csv|outputs/tables/gama_sigma_best.csv|outputs/tables/gama_sigma_matched.csv|outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_null_slopes.csv|outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_qc.csv|outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_variance_scaling.csv|outputs/tables/obs_gama_rebuilt_oiiibH_sigmaS_variance_summary.csv|outputs/tables/obs_gama_rebuilt_sigmaS_null_slopes.csv|outputs/tables/obs_gama_rebuilt_sigmaS_qc.csv|outputs/tables/obs_gama_rebuilt_sigmaS_variance_scaling.csv|outputs/tables/obs_gama_rebuilt_sigmaS_variance_summary.csv
BH-C09,manga_universal_compression,The MaNGA IFU branch supports universal variance compression.,rejected_negative_result,rejected_negative_result,MaNGA demonstrates survey-scale portability but refuses a universal compression law.,MaNGA confirms universal black-hole homeostatic compression.,26,manga|variance,configs/manga_full_age_variance_scaling.yaml|configs/manga_full_age_variance_scaling_clean.yaml|configs/manga_full_kin_variance_scaling.yaml|configs/manga_full_kin_variance_scaling_clean.yaml|outputs/tables/manga_full_age_variance_scaling.csv|outputs/tables/manga_full_age_variance_scaling_clean.csv|outputs/tables/manga_full_age_variance_summary.csv|outputs/tables/manga_full_age_variance_summary_clean.csv|outputs/tables/manga_full_kin_variance_scaling.csv|outputs/tables/manga_full_kin_variance_scaling_clean.csv|outputs/tables/manga_full_kin_variance_summary.csv|outputs/tables/manga_full_kin_variance_summary_clean.csv|outputs/tables/manga_ifu_age_variance_scaling.csv|outputs/tables/manga_ifu_age_variance_scaling_expanded.csv|outputs/tables/manga_ifu_age_variance_summary.csv|outputs/tables/manga_ifu_age_variance_summary_expanded.csv|outputs/tables/manga_ifu_kin_variance_scaling.csv|outputs/tables/manga_ifu_kin_variance_scaling_expanded.csv|outputs/tables/manga_ifu_kin_variance_summary.csv|outputs/tables/manga_ifu_kin_variance_summary_expanded.csv|outputs/tables/obs_manga_rebuilt_oiiiH_d4000S_variance_scaling.csv|outputs/tables/obs_manga_rebuilt_oiiiH_d4000S_variance_summary.csv|outputs/tables/obs_manga_rebuilt_sigmaS_variance_scaling.csv|outputs/tables/obs_manga_rebuilt_sigmaS_variance_summary.csv|outputs/tables/obs_manga_variance_scaling.csv|outputs/tables/obs_manga_variance_summary.csv
BH-C10,ripeness_score_is_maturity,The weighted ripeness score is a validated black-hole maturity scale.,exploratory,exploratory,The score is an exploratory contextual ranking whose component and rank stability can be audited.,The score measures intrinsic black-hole maturity.,32,rank|score|settlement,configs/bh_ripeness_component_audit.yaml|configs/bh_ripeness_decoupling_audit.yaml|configs/bh_ripeness_diagnostics.yaml|configs/bh_ripeness_leave_one_out.yaml|configs/bh_ripeness_rankings.yaml|configs/bh_ripeness_regime_plots.yaml|configs/bh_ripeness_sensitivity.yaml|configs/bh_ripeness_stable_core_overlap.yaml|outputs/tables/bh_ripeness_bottom_by_context.csv|outputs/tables/bh_ripeness_bottom_component_audit.csv|outputs/tables/bh_ripeness_bottom_global.csv|outputs/tables/bh_ripeness_class_summary.csv|outputs/tables/bh_ripeness_component_summary.csv|outputs/tables/bh_ripeness_correlations.csv|outputs/tables/bh_ripeness_decoupling_summary.csv|outputs/tables/bh_ripeness_focus_component_audit.csv|outputs/tables/bh_ripeness_leave_one_out_focus.csv|outputs/tables/bh_ripeness_leave_one_out_summary.csv|outputs/tables/bh_ripeness_rank_overlap.csv|outputs/tables/bh_ripeness_rankings.csv|outputs/tables/bh_ripeness_sensitivity_overlap.csv|outputs/tables/bh_ripeness_sensitivity_summary.csv|outputs/tables/bh_ripeness_stable_core_membership.csv|outputs/tables/bh_ripeness_stable_core_summary.csv|outputs/tables/bh_ripeness_stable_core_top25.csv|outputs/tables/bh_ripeness_summary_by_context.csv|outputs/tables/bh_ripeness_top_by_context.csv|outputs/tables/bh_ripeness_top_component_audit.csv|outputs/tables/bh_ripeness_top_global.csv|outputs/tables/bh_time_extreme_ripeness_tier1_hrsm.csv|outputs/tables/bh_time_ripeness_from_csv.csv|outputs/tables/bh_time_ripeness_from_csv_tier1_hrsm.csv
